Haikyuu!!,42395
Shingeki no Kyojin | Attack on Titan,35870
Naruto,26924
Hetalia: Axis Powers,25529
Yuri!!! on Ice (Anime),25180
Kuroko no Basuke | Kuroko's Basketball,17513
Free!,14657
Miraculous Ladybug,12244
Fullmetal Alchemist - All Media Types,11700
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,11024
One Piece,10394
Pocket Monsters | Pokemon - All Media Types,10287
Bleach,9951
Dangan Ronpa - All Media Types,9795
Yu-Gi-Oh! Series,9527
Katekyou Hitman Reborn!,7186
ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure,7059
Fairy Tail,6961
Kuroshitsuji | Black Butler,6368
Tokyo Ghoul,5919
Gundam & Related Fandoms,5766
Yu-Gi-Oh!,5591
文豪ストレイドッグス | Bungou Stray Dogs,5056
Dangan Ronpa: Trigger Happy Havoc,4877
おそ松さん | Osomatsu-san (Anime),4837
Gundam Wing,4691
The Legend of Zelda & Related Fandoms,4687
TAKAHASHI Rumiko - Works,4598
CLAMP - Works,4579
Death Note & Related Fandoms,4454
ダイヤのA | Daiya no A | Ace of Diamond,4373
Fullmetal Alchemist: Brotherhood & Manga,4303
Death Note (Anime & Manga),4263
InuYasha - A Feudal Fairy Tale,4102
Hunter X Hunter,4050
終わりのセラフ | Owari no Seraph | Seraph of the End,4012
Tennis no Oujisama | Prince of Tennis,3987
DRAMAtical Murder - All Media Types,3789
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,3613
Durarara!!,3595
D.Gray-man,3430
Dragon Ball,3420
Persona 4,3234
Love Live! School Idol Project,2850
弱虫ペダル | Yowamushi Pedal,2822
Saiyuki,2723
ワンパンマン | One-Punch Man,2722
Soul Eater,2703
Gintama,2609
Kamen Rider - All Media Types,2444
Digimon - All Media Types,2239
Saint Seiya,2200
名探偵コナン | Detective Conan | Case Closed,2199
K (Anime),2170
Ouran High School Host Club - All Media Types,2043
モブサイコ100 | Mob Psycho 100,1964
Weiß Kreuz,1953
Fullmetal Alchemist (Anime 2003),1888
Pocket Monsters | Pokemon (Anime),1859
Magi: The Labyrinth of Magic,1844
刀剣乱舞 | Touken Ranbu,1808
Fate/stay night & Related Fandoms,1728
Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,1725
Hikaru no Go,1703
Finder no Hyouteki | Finder Series,1677
Tsubasa: Reservoir Chronicle,1586
幽☆遊☆白書 | YuYu Hakusho: Ghost Files,1486
Love Live! Sunshine!!,1440
Ao no Exorcist | Blue Exorcist,1391
Yu-Gi-Oh! ARC-V,1385
Tales of Zestiria,1342
Yu-Gi-Oh! Zexal,1329
Assassination Classroom,1237
Neon Genesis Evangelion,1115
xxxHoLic,1109
Devil May Cry,1060
Magic Kaito,1056
Tiger & Bunny,1043
No. 6 - All Media Types,1039
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Anime & Manga),1036
Code Geass,1030
Akatsuki no Yona | Yona of the Dawn,1022
Kyou Kara Maou!,1014
Psycho-Pass,1011
美男高校地球防衛部LOVE! | Binan Koukou Chikyuu Bouei-bu LOVE!,1000
Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School,978
Hellsing,951
Kill la Kill,950
闇の末裔 | Yami No Matsuei | Descendants of Darkness,948
Digimon Adventure Zero Two | Digimon Adventure 02,904
Ookiku Furikabutte | Big Windup!,904
NAKAMURA Shungiku - Works,859
Pandora Hearts,855
ノラガミ | Noragami,849
Natsume Yuujinchou | Natsume's Book of Friends,807
Yu-Gi-Oh! GX,803
Aldnoah.Zero (Anime & Manga),795
Shoujo Kakumei Utena | Revolutionary Girl Utena,778
Vampire Knight (Anime & Manga),778
Rockman | Mega Man - All Media Types,759
Cardcaptor Sakura,751
Pocket Monsters: Black & White | Pokemon Black and White Versions,742
FAKE (Manga),738
Rurouni Kenshin,738
Fate/Zero,693
X -エックス- | X/1999,690
Baccano!,678
Uta no Prince-sama,654
Fruits Basket,651
Servamp (Anime & Manga),645
Yu-Gi-Oh! 5D's,620
Pocket Monsters SPECIAL | Pokemon Adventures,599
Digimon Adventure,572
Eroica Yori Ai o Komete | From Eroica with Love,562
Junjou Romantica,553
Princess Tutu,548
Joker Game (Anime),527
Loveless,526
Fate/stay night - All Media Types,514
Eyeshield 21,499
Sengoku Basara,497
No. 6 (Anime & Manga),490
Ranma 1/2,482
Slayers (Anime & Manga),451
Little Witch Academia,450
赤髪の白雪姫 | Akagami no Shirayukihime,449
Beyblade,445
月刊少女野崎くん | Gekkan Shoujo Nozaki-kun,441
Three Kingdoms History & Adaptations - All Media Types,440
Gundam 00,421
Sword Art Online,411
Gravitation,409
Cardfight!! Vanguard,398
Hakuouki,387
亜人 - 三浦追儺 & 桜井画門 | Ajin - Miura Tsuina & Sakurai Gamon,385
Pet Shop of Horrors,381
Howl's Moving Castle - All Media Types,365
Sekai-ichi Hatsukoi,357
GetBackers,356
Mekakucity Actors,354
Pocket Monsters: Diamond & Pearl & Platinum | Pokemon Diamond Pearl Platinum Versions,351
Tokyo Babylon,350
蒼穹のファフナー | Fafner,342
Cowboy Bebop,340
Claymore,334
Ghost - Ambiguous Fandom,326
Diabolik Lovers,325
七つの大罪 | Nanatsu no Taizai | The Seven Deadly Sins,319
Gangsta. (Anime & Manga),314
プリキュア | PreCure | Pretty Cure Series,314
