Harry Potter - J. K. Rowling,155410
Sherlock Holmes & Related Fandoms,109338
Star Wars - All Media Types,58477
TOLKIEN J. R. R. - Works & Related Fandoms,52456
Dragon Age - All Media Types,51254
Doctor Who,46132
Arthurian Mythology & Related Fandoms,31361
A Song of Ice and Fire & Related Fandoms,29198
Doctor Who (2005),28739
The Hobbit - All Media Types,27873
A Song of Ice and Fire - George R. R. Martin,23096
The Shadowhunter Chronicles - All Media Types,19034
The Lord of the Rings - All Media Types,18978
Hannibal Lecter Series - All Media Types,17954
Les Misérables - All Media Types,17388
Mass Effect - All Media Types,16598
Percy Jackson and the Olympians & Related Fandoms - All Media Types,14676
RIORDAN Rick - Works,13006
Star Wars: Rebellion Era - All Media Types,12924
The Lord of the Rings - J. R. R. Tolkien,11846
Star Wars: Rise of Empire Era - All Media Types,10945
Percy Jackson and the Olympians - Rick Riordan,10473
Dangan Ronpa - All Media Types,9795
Hunger Games Series - All Media Types,9298
The Hobbit - J. R. R. Tolkien,8968
The Vampire Diaries & Related Fandoms,8967
James Bond - All Media Types,8902
The Shadowhunter Chronicles - Cassandra Clare,8867
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,8597
James Bond (Craig movies),8176
The Mortal Instruments Series - Cassandra Clare,7171
Guardians of Childhood & Related Fandoms,6931
Hunger Games Trilogy - Suzanne Collins,6864
The Heroes of Olympus - Rick Riordan,6657
Carmilla - All Media Types,6126
Assassin's Creed - All Media Types,6064
Twilight Series - All Media Types,6056
Carmilla (Web Series),5904
Les Misérables - Victor Hugo,5195
Star Wars Legends - All Media Types,5152
DUMAS Alexandre - Works,5143
d'Artagnan Romances (Three Musketeers Series) - All Media Types,5092
Star Wars Original Trilogy,5080
Religion & Lore - Ambiguous Fandom,4633
Sherlock Holmes - Arthur Conan Doyle,4586
PRATCHETT Terry - Works,4565
Star Wars: The Clone Wars (2008) - All Media Types,4550
Twilight Series - Stephenie Meyer,4384
Raven Cycle - Maggie Stiefvater,4212
