Marvel,235286
The Avengers - Ambiguous Fandom,105853
The Avengers (Marvel) - All Media Types,103045
DCU,102738
Captain America - All Media Types,59482
Star Wars - All Media Types,58476
Dragon Age - All Media Types,51254
Homestuck,44346
Voltron: Legendary Defender,32192
Thor - All Media Types,29371
The Hobbit - All Media Types,27873
DCU (Comics),27135
Batman - All Media Types,26086
X-Men - All Media Types,24756
Transformers - All Media Types,23380
Marvel (Comics),22022
Disney - All Media Types,21571
Marvel 616,18750
The Walking Dead & Related Fandoms,16721
Mass Effect - All Media Types,16598
Green Arrow - All Media Types,16310
The Flash - All Media Types,16126
Avatar (TV),13287
Star Wars: Rebellion Era - All Media Types,12923
Batman (Comics),12719
Superman - All Media Types,12519
Miraculous Ladybug,12244
Gravity Falls,12026
Transformers Generation One,11582
Spider-Man - All Media Types,10221
Smallville,9345
Steven Universe (Cartoon),8971
Young Justice - All Media Types,8948
RWBY,8705
Avatar: Legend of Korra,7325
Check Please! (Webcomic),6836
Avatar: The Last Airbender,6686
Assassin's Creed - All Media Types,6064
Young Justice (Cartoon),5343
The Transformers (IDW Generation One),5221
Star Wars Original Trilogy,5079
Deadpool - All Media Types,5002
Avengers (Comics),4790
The Legend of Zelda & Related Fandoms,4687
Teenage Mutant Ninja Turtles - All Media Types,4683
Star Wars: The Clone Wars (2008) - All Media Types,4550
Dungeons & Dragons - All Media Types,4453
Archie Comics & Related Fandoms,4317
Fullmetal Alchemist: Brotherhood & Manga,4302
South Park,4093
DC Cinematic Universe,4068
X-Men (Comicverse),3898
Transformers: Prime,3846
Warcraft - All Media Types,3452
DC Animated Universe,3352
Star Wars Legends: Sith Era - All Media Types,2956
Justice League - All Media Types,2842
Young Avengers (Comics),2761
ワンパンマン | One-Punch Man,2722
Ghostbusters - All Media Types,2589
Rick and Morty,2400
Star Wars: Rebels,2342
Hawkeye (Comics),2341
Danny Phantom,2231
Resident Evil - All Media Types,2200
Teen Titans - All Media Types,2148
Nightwing (Comics),2029
モブサイコ100 | Mob Psycho 100,1964
My Little Pony,1873
My Little Pony: Friendship is Magic,1785
Red Hood and the Outlaws (Comics),1753
Captain America (Comics),1736
The Incredible Hulk (2008),1669
Teenage Mutant Ninja Turtles (TV 2012),1667
Red Robin (Comics),1562
Sonic the Hedgehog - All Media Types,1548
Wonder Woman - All Media Types,1528
Eddsworld - All Media Types,1507
Teen Titans (Comics),1497
Transformers Animated (2007),1402
Teen Titans (Animated Series),1365
Justice League & Justice League Unlimited (Cartoons),1319
Fantastic Four,1277
Adventure Time,1275
Camp Camp (Web Series),1247
Watchmen - All Media Types,1237
Deadpool (Comics),1234
Teenage Mutant Ninja Turtles (TV 2003),1215
Tron - All Media Types,1168
Metalocalypse,1114
The Flash (Comics),1031
Thor (Comics),1018
Winter Soldier (Comics),1015
Lego - All Media Types,1014
Star vs. The Forces Of Evil,991
Hellblazer & Related Fandoms,973
Batman: The Animated Series,959
Green Lantern - All Media Types,909
Under the Red Hood,891
Superman (Comics),876
Phineas and Ferb,875
Stand Still Stay Silent,868
Black Widow (Comics),863
Serenity (2005),811
Batman and Robin (Comics),802
Iron Man (Comics),799
Star Wars Legends: New Republic Era - All Media Types,784
Batgirl (Comics),736
The Sandman (Comics),736
X-Men Evolution,722
Over the Garden Wall (Cartoon),721
Spider-Man (Comicverse),684
Robin (Comics),676
Girl Genius (Webcomic),649
Marvel Ultimate Universe,634
Invader Zim,632
Daredevil (Comics),630
Outsiders - Ambiguous Fandom,619
Ben 10 Series,600
Ultimate Spider-Man (Cartoon 2012),598
HAMLETMACHINE - Works,597
Villainous (Cartoon),597
Starfighter (Comic),595
Batman: Arkham - All Media Types,594
Ed Edd n Eddy,586
Green Lantern (Comics),574
Daria (Cartoon),533
The Walking Dead (Comics),530
The Mummy Series,510
Young Justice (Comics),500
Superman/Batman (Comics),496
Total Drama,488
Kim Possible (Cartoon),484
Xiaolin Showdown (Cartoon),480
킬링 스토킹 | Killing Stalking (Webcomic),476
Loki: Agent of Asgard,466
Transformers: Robots in Disguise (2015),466
Archie Comics,460
Fantastic Four (Comicverse),422
Disney Duck Universe,421
Gundam 00,421
Hellboy - All Media Types,420
Wander Over Yonder,416
Batman Beyond,412
Transformers: Shattered Glass,395
Tomb Raider & Related Fandoms,394
Buffy the Vampire Slayer (Comics),380
Wonder Woman (Comics),377
