Marvel,235289
Marvel Cinematic Universe,190781
Harry Potter - J. K. Rowling,155412
The Avengers - Ambiguous Fandom,105855
The Avengers (Marvel) - All Media Types,103047
DCU,102741
The Avengers (Marvel Movies),87524
Captain America - All Media Types,59483
Star Wars - All Media Types,58478
Captain America (Movies),53114
TOLKIEN J. R. R. - Works & Related Fandoms,52456
Dragon Age - All Media Types,51254
Star Trek,48277
Arthurian Mythology & Related Fandoms,31361
Thor - All Media Types,29371
The Hobbit - All Media Types,27873
Star Wars Sequel Trilogy,26779
Batman - All Media Types,26086
Thor (Movies),25967
Star Wars Episode VII: The Force Awakens (2015),25807
X-Men - All Media Types,24756
Star Trek: Alternate Original Series (Movies),24259
Transformers - All Media Types,23380
Disney - All Media Types,21571
X-Men (Movieverse),20743
The Shadowhunter Chronicles - All Media Types,19034
The Lord of the Rings - All Media Types,18978
Iron Man (Movies),18470
Hannibal Lecter Series - All Media Types,17954
Mass Effect - All Media Types,16598
The Hobbit (Jackson Movies),15538
Percy Jackson and the Olympians & Related Fandoms - All Media Types,14676
X-Men (Alternate Timeline Movies),13999
Star Wars: Rebellion Era - All Media Types,12924
Superman - All Media Types,12519
Star Wars: Rise of Empire Era - All Media Types,10945
Percy Jackson and the Olympians - Rick Riordan,10473
Spider-Man - All Media Types,10222
Hunger Games Series - All Media Types,9298
James Bond - All Media Types,8902
James Bond (Movies),8684
Inception (2010),8654
Star Trek: The Original Series,8369
James Bond (Craig movies),8176
Pacific Rim (Movies),7748
Star Wars Prequel Trilogy,7652
Kingsman (Movies),7522
Guardians of Childhood & Related Fandoms,6931
Rise of the Guardians (2012),6909
Fantastic Beasts and Where to Find Them (Movies),6158
Assassin's Creed - All Media Types,6064
Twilight Series - All Media Types,6056
Rogue One: A Star Wars Story (2016),5710
d'Artagnan Romances (Three Musketeers Series) - All Media Types,5092
Highlander - All Media Types,5083
Star Wars Original Trilogy,5080
X-Men (Original Timeline Movies),4993
Teenage Mutant Ninja Turtles - All Media Types,4683
Les Misérables (2012),4614
Star Wars: The Clone Wars (2008) - All Media Types,4550
Death Note & Related Fandoms,4454
The Lord of the Rings (Movies),4415
Archie Comics & Related Fandoms,4317
South Park,4092
DC Cinematic Universe,4068
Snow Queen - All Media Types,4034
Frozen (2013),3979
Transformers: Prime,3846
The Maze Runner Series - All Media Types,3811
Tokusatsu,3798
Guardians of the Galaxy (Movies),3752
Hiccup Series - All Media Types,3694
How to Train Your Dragon (Movies),3664
Pirates of the Caribbean (Movies),3226
Treasure Island & Related Fandoms,3099
Star Wars Legends: Sith Era - All Media Types,2956
Batman (Movies - Nolan),2918
Chronicles of Narnia - All Media Types,2916
Pitch Perfect (Movies),2788
Ghostbusters - All Media Types,2589
Zootopia (2016),2576
Veronica Mars - All Media Types,2549
IT (2017),2547
Transformers (Bay Movies),2543
Kamen Rider - All Media Types,2444
The Hunger Games (Movies),2443
Mad Max Series (Movies),2315
The Man From U.N.C.L.E. (2015),2301
Canadian 6 Degrees,2251
Resident Evil - All Media Types,2200
Big Hero 6 (2014),2135
The Legend of Sleepy Hollow - All Media Types,2114
Spider-Man: Homecoming (2017),2063
Star Wars Episode I: The Phantom Menace,2040
The Amazing Spider-Man (Movies - Webb),2036
Ghostbusters (2016),2027
Pride and Prejudice & Related Fandoms,2008
Dracula & Related Fandoms,1923
The Losers - All Media Types,1917
Newsies - All Media Types,1887
Beauty and the Beast - All Media Types,1880
Sherlock Holmes (Downey films),1834
Labyrinth (1986),1810
The Maze Runner (Movies),1730
Fast and the Furious Series,1696
The Incredible Hulk (2008),1669
Descendants (Disney Movies),1646
Jurassic Park - All Media Types,1587
Jurassic Park (Movies),1573
Wonder Woman - All Media Types,1528
Robin Hood - All Media Types,1445
The Social Network (2010),1443
The Wizard of Oz & Related Fandoms,1416
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms,1409
The Losers (2010),1407
American Horror Story,1296
Fantastic Four,1277
Batman v Superman: Dawn of Justice,1254
Watchmen - All Media Types,1237
Tangled (2010),1203
Peter Pan & Related Fandoms,1199
Terminator - All Media Types,1171
Tron - All Media Types,1168
Power Rangers (2017),1154
Jurassic World (2015),1145
Newsies (1992),1136
The Devil Wears Prada (2006),1120
Suicide Squad (2016),1111
The A-Team - All Media Types,1109
Thunderbirds,1084
Divergent - All Media Types,1050
Tron (Movies),1006
Hellblazer & Related Fandoms,973
The Eagle - Ambiguous Fandom,944
Wonder Woman (2017),944
Mission: Impossible,942
The Eagle | The Eagle of the Ninth - All Media Types,939
Sleeping Beauty - All Media Types,938
In the Loop (2009) & The Thick of It,925
Alien Series,922
Twilight (Movies),920
Mission: Impossible (Movies),904
Romeo And Juliet - All Media Types,894
Vampire Chronicles - All Media Types,863
Cinderella - All Media Types,862
Beauty and the Beast (2017),858
Strange Magic (2015),857
Doctor Strange (2016),817
Serenity (2005),811
Star Wars Episode III: Revenge of the Sith,805
Tron: Legacy (2010),782
Brave (2012),779
The Eagle | The Eagle of the Ninth (2011),775
The Magnificent Seven (2016),774
Boondock Saints (Movies),752
Beauty and the Beast (1991),724
The Faculty (1998),697
Star Trek: The Original Series (Movies),696
The Chronicles of Riddick Series,693
Charlie Countryman (2013),690
Jupiter Ascending (2015),688
The A-Team (2010),674
TARANTINO Quentin - Works,661
Final Fantasy VII: Advent Children,658
The Martian - All Media Types,638
Night at the Museum (Movies),634
Deadpool (2016),624
Warcraft (2016),620
Chronicles of Narnia (Movies),619
Outsiders - Ambiguous Fandom,619
King Arthur (2004),609
Fantastic Four (Movies),602
Master and Commander - All Media Types,600
The Little Mermaid - All Media Types,599
Die Hard (Movies),594
Maleficent (2014),587
Now You See Me (Movies),578
Wolverine (Movies),560
Baby-Sitters Club - All Media Types,559
Snow White - All Media Types,558
Adam (2009),554
High School Musical (Movies),552
Heathers (1988),534
Star Wars Episode IV: A New Hope,531
Carol (2015),529
Alice in Wonderland (Movies - Burton),514
The Mummy Series,510
The Outsiders - All Media Types,497
Moana (2016),496
Brokeback Mountain - All Media Types,489
Ant-Man (Movies),488
Brokeback Mountain (2005),481
Crimson Peak (2015),463
Hamlet - All Media Types,462
Fantastic Four (Movies 2005-2007),460
Bourne (Movies),457
Bourne Series - All Media Types,457
The Martian (2015),447
Alien Quadrilogy (Movies),446
The Little Mermaid (1989),445
Mortal Kombat - All Media Types,444
Man of Steel (2013),443
Three Kingdoms History & Adaptations - All Media Types,440
Alien (Prequel Movies),429
Divergent (Movies),421
Hellboy - All Media Types,420
Aladdin - All Media Types,415
Addams Family - All Media Types,406
Lost Boys (Movies),406
Tinker Tailor Soldier Spy - All Media Types,403
Teenage Mutant Ninja Turtles (Bay Movies),400
The Mortal Instruments (Movies),395
Star Wars Episode VI: Return of the Jedi,394
Tomb Raider & Related Fandoms,394
Justice League (2017),388
Dead Poets Society (1989),387
Star Wars Episode V: Empire Strikes Back,384
Hot Fuzz (2007),383
Wreck-It Ralph (2012),383
Star Wars Episode II: Attack of the Clones,382
Terminator (Movies),381
The Fast and the Furious (2001),376
Sky High (2005),376
Scooby Doo - All Media Types,369
Mulan - All Media Types,368
Hard Core Logo (1996),365
Aladdin (1992),358
Repo! The Genetic Opera (2008),357
Veronica Mars (Movie 2014),353
Judge Dredd - All Media Types,350
Mulan (1998),347
Dunkirk (2017),340
The Muppets - All Media Types,339
The Matrix (Movies),334
Blade - All Media Types,329
Hellboy (Movies),328
Dredd (2012),322
Back to the Future (Movies),320
The Expendables (Movies),315
Frankenstein & Related Fandoms,315
Phantom of the Opera (2004),314
Tinker Tailor Soldier Spy (2011),310
Shrek (Movies),307
Blade (Movie Series),302
Megamind (2010),299
History Boys - All Media Types,298
The Chronicles of Riddick (2004),294
Dark Shadows - All Media Types,288
Ocean's (Movies),287
Wallander - All Media Types,287
Toy Story (Movies),286
Alexander (2004),282
Rush (2013),277
Indiana Jones Series,275
The LEGO Movie (2014),275
Lilo & Stitch (2002),275
Black Panther (2018),268
Cinderella (2015),267
James Bond (Classic movies),264
Velvet Goldmine,264
Fright Night (2011),262
The Lion King (1994),262
Tintin - All Media Types,262
ParaNorman (2012),261
The Bourne Legacy (2012),258
Superman Returns (2006),257
The Huntsman (Movies),256
Sing (2016),254
Tron (1982),254
Sleeping Beauty (1959),252
Push (2009),251
Hansel and Gretel: Witch Hunters (2013),248
Saw (Movies),247
The Covenant (2006),246
Notre-Dame de Paris | The Hunchback of Notre-Dame - All Media Types,245
The Princess and the Frog (2009),244
The Nightmare Before Christmas (1993),241
Snowpiercer (2013),240
Little Red Riding Hood - All Media Types,239
Spider-Man (Movies - Raimi),238
Hannibal Lecter (Hopkins Movies),232
Doom (2005),231
The Breakfast Club (1985),228
Fifty Shades of Grey - All Media Types,228
GoldenEye (1995),226
V for Vendetta - All Media Types,225
Wilby Wonderful (2004),222
Watchmen (2009),221
The Mummy (1999),218
Book of Life (2014),217
G.I. Joe - All Media Types,217
Only Lovers Left Alive (2013),217
Bridget Jones's Diary - All Media Types,216
Titanic (1997),212
History Boys (2006),211
Shelter (2007),211
Inglourious Basterds (2009),210
Pitch Black (2000),210
Evil Dead - All Media Types,209
RocknRolla (2008),205
Trolls (2016),203
Blade Runner (Movies),202
Cars (Movies),202
Constantine (2005),200
Askewniverse,199
Underworld (Movies),197
Heneral Luna (2015),196
The Hunchback of Notre Dame (1996),196
The Lorax (2012),196
Princess Bride (1987),194
Reservoir Dogs (1992),194
The Invisible Man - All Media Types,193
RED (Movies),189
Dune - All Media Types,188
Treasure Planet (2002),188
The Worst Witch - All Media Types,187
Jane Eyre - All Media Types,186
V for Vendetta (2005),186
The Great Gatsby (2013),184
21 Jump Street - All Media Types,181
Coraline - All Media Types,181
The Lorien Legacies - All Media Types,181
Zorro - All Media Types,179
St Trinian's - All Media Types,178
Evil Dead (Movies),177
Empire Records (1995),174
TMNT (2007),174
Star Trek: The Next Generation (Movies),173
Resident Evil (Movieverse),170
Rocky Horror Picture Show,169
Starman - Ambiguous Fandom,166
Fight Club - All Media Types,165
Interview With the Vampire (1994),164
Monsters Inc (2001),164
Re-Animator (Movies),164
The Incredibles (2004),163
St Trinian's (2007 2009),163
Ghostbusters (Movies 1984-1989),162
Men in Black (Movies),161
Buffy the Vampire Slayer (1992),160
Charlie and the Chocolate Factory - All Media Types,160
Master and Commander: The Far Side of the World (2003),160
Dorian Gray - All Media Types,159
The Princess Diaries - All Media Types,158
The Road to El Dorado (2000),158
Thoughtcrimes (2003),158
Van Helsing (2004),157
Fast Five (2011),156
Highlander (Movies),156
Fast & Furious (2009),155
A Midsummer Night's Dream - All Media Types,155
Sweeney Todd (2007),155
Warrior (2011),155
Atlantis: The Lost Empire (2001),154
Star Wars (Marvel Comics),154
Inside Out (2015),153
Anastasia (1997),152
Hercules (1997),151
King Arthur: Legend of the Sword (2017),149
Kung Fu Panda - All Media Types,149
Gone With the Wind - All Media Types,148
A Nightmare on Elm Street - All Media Types,148
Miss Peregrine's Home for Peculiar Children (2016),147
The Addams Family (1991),145
Baby Driver (2017),145
Tarzan - All Media Types,145
Avatar (2009),144
Bollywood Movies,144
Donald Strachey Mysteries (Movies),143
Scott Pilgrim - All Media Types,143
Snow White and the Seven Dwarfs (1937),142
Zombieland (2009),142
Basil of Baker Street - All Media Types,141
Coraline (2009),141
2 Fast 2 Furious (2003),138
Epic (2013),137
The Outsiders (1983),137
Cloud Atlas - All Media Types,136
Doctor Who (TV Movie 1996),136
Cinderella (1950),135
The Count of Monte Cristo - All Media Types,135
Friday the 13th Series (Movies),135
3:10 to Yuma (2007),134
Peter Pan (2003),134
Mary Poppins - All Media Types,133
War Horse (2011),133
Godzilla - All Media Types,130
Kiss Kiss Bang Bang (2005),130
The Secret Garden - All Media Types,130
Ten Inch Hero,130
The LEGO Batman Movie (2017),129
S.W.A.T. - All Media Types,129
Pocahontas (1995),128
Predator Series,128
Fight Club (1999),127
The Great Mouse Detective (1986),127
John Wick (Movies),126
Peter Pan (1953),126
Priest (2011),126
Pride and Prejudice (2005),125
Star Wars Legends: Legacy Era - All Media Types,125
Jurassic Park III (2001),123
National Treasure (Movies),123
Four Brothers (2005),122
Bridget Jones's Diary (2001),120
The Mummy Returns (2001),120
The Scarlet Pimpernel - All Media Types,120
Shame (2011),120
Alien vs Predator (2004),119
Jurassic Park (1993),119
S.W.A.T. (2003),119
Stardust - All Media Types,119
Wanted (2008),119
Despicable Me (Movies),118
Monsters University (2013),118
Fast & Furious 6 (2013),117
The Music Man - All Media Types,117
Call Me By Your Name - All Media Types,116
Basic Instinct (Movies),115
Mansfield Park - All Media Types,115
El Mariachi Trilogy (Movies),113
Coco (2017),112
Halloween Movies - All Media Types,112
Battle Royale - All Media Types,111
Ender's Game - All Media Types,110
A Knight's Tale (2001),110
Masters of the Universe & Related Fandoms,110
Percy Jackson & The Olympians (Movies),110
Troy (2004),110
Mighty Ducks (Movies),108
Thunderheart (1992),108
The Borrowers - All Media Types,107
Bionicle - All Media Types,106
Eastern Promises (2007),105
Ella Enchanted - All Media Types,105
Fantastic Four (2015),105
Kick-Ass (Movies),105
Onmyouji | The Yin-Yang Master (Movies),105
Split (2016),105
Equilibrium (2002),104
Grease - All Media Types,104
Mænd & høns | Men & Chicken (2015),104
The Last Unicorn - All Media Types,103
Mary Poppins (1964),103
