K-pop,108273
One Direction (Band),52485
방탄소년단 | Bangtan Boys | BTS,46264
Bandom,40874
Music RPF,38181
Rock Music RPF,31363
EXO (Band),17425
My Chemical Romance,13372
Jpop,9863
Johnny's Entertainment,9334
Fall Out Boy,8809
5 Seconds of Summer (Band),8592
Twenty One Pilots,7898
SEVENTEEN (Band),7647
Panic! at the Disco,7137
GOT7,6124
Adam Lambert (Musician),4745
Jrock,4019
Arashi (Band),3772
Monsta X (Band),3668
VIXX,3360
DBSK | Tohoshinki | TVfXQ | TVXQ,3227
YG Entertainment | YG Family,3166
SHINee,3124
NCT (Band),3099
Super Junior,2617
Popslash,2547
Wanna One (Band),2340
Produce 101 (TV),2076
Pop Music RPF,2012
Infinite (Band),1967
B.A.P,1891
Big Bang (Band),1790
KAT-TUN (Band),1671
1960s Music Scene RPF,1625
the GazettE,1602
Tommy Ratliff (Musician),1544
Vocaloid,1462
Cobra Starship,1383
Zayn Malik (Musician),1375
The Beatles,1329
NSYNC,1169
Tokio Hotel,1133
Hey! Say! JUMP,1047
All Time Low (Band),1045
NewS (Band),1009
The Academy Is...,1002
Gorillaz,984
Kris Allen (Musician),922
Danger Days: The True Lives of the Fabulous Killjoys (Album),916
Kanjani8 (Band),894
Disney RPF,888
Dir en grey,849
Muse (Band),846
ASTRO (Band),824
Electronic Dance Music RPF,777
30 Seconds to Mars,765
TWICE (Band),741
Backstreet Boys,739
iKON (Korea Band),731
Glam Rock RPF,719
Block B,707
Fifth Harmony (Band),693
Pierce the Veil,676
NU'EST,670
Hanson (Band),660
Pentatonix,659
JYJ (Band),654
Winner (Band),646
소녀시대 | Girls' Generation | SNSD,636
Little Mix (Band),620
Ylvis,616
Reign - Ambiguous Fandom,574
Canadian Music RPF,569
f(x),562
Steam Powered Giraffe,548
Young Veins,546
Red Velvet (K-pop Band),544
Sleeping With Sirens,537
JJ Project,527
Taylor Swift (Musician),516
Japanese Actor RPF,477
Superfruit,468
Jonas Brothers,459
Kane (Band),440
Arctic Monkeys,427
Kis-My-Ft2 (Band),415
Green Day,414
Johnny's Jr.,411
Pentagon (Korea Band),408
Black Veil Brides,406
Topp Dogg (Band),389
X Factor RPF,383
Mystery Skulls Animated,376
Day6 (Band),373
Rammstein,373
Sexy Zone,365
Alice Nine,364
Avenged Sevenfold,361
