Les Misérables - All Media Types,17388
Hamilton - Miranda,13627
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,3613
Be More Chill - Iconis/Tracz,3033
SHAKESPEARE William - Works,2786
Les Misérables - Schönberg/Boublil,2379
Dear Evan Hansen - Pasek & Paul/Levenson,2068
Newsies - All Media Types,1887
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms,1409
Newsies!: the Musical - Fierstein/Menken,1324
Harry Potter and the Cursed Child - Thorne & Rowling,981
Romeo And Juliet - All Media Types,894
Heathers: The Musical - Murphy & O'Keefe,821
Shakespeare - History Plays,737
The Book of Mormon - Ambiguous Fandom,674
The Book of Mormon - Parker/Stone/Lopez,666
Wicked - All Media Types,605
Romeo And Juliet - Shakespeare,592
Rent - Larson,565
Phantom of the Opera - Lloyd Webber,542
Spring Awakening - Sheik/Sater,541
Falsettos - Lapine/Finn,491
Hamlet - All Media Types,462
Hamlet - Shakespeare,449
In the Heights - Miranda,432
Natasha Pierre and the Great Comet of 1812 - Malloy,367
History Boys - All Media Types,298
Wicked - Schwartz/Holzman,292
Romeo et Juliette - Presgurvic,284
The Thrilling Adventure Hour,224
Henry IV - Shakespeare,207
Richard II - Shakespeare,206
Rómeó és Júlia (Színház),203
Henry V - Shakespeare,177
Elisabeth - Levay/Kunze,161
Henry IV Part 1 - Shakespeare,161
Twelfth Night - Shakespeare,161
Cats - Andrew Lloyd Webber,157
A Midsummer Night's Dream - All Media Types,155
The Secret Garden - All Media Types,130
Chess - Rice/Ulvaeus/Andersson,122
The Scarlet Pimpernel - All Media Types,120
The Music Man - All Media Types,117
Rosencrantz & Guildenstern are Dead - Stoppard,117
Tanz der Vampire - Steinman/Kunze,115
Anastasia - Flaherty/Ahrens/McNally,111
Mozart l'Opéra Rock - Mozart/Baguian & Guirao,110
Much Ado About Nothing - Shakespeare,107
History Boys - Bennett,106
Messiah Project - All Media Types,105
Midsummer Night's Dream - Shakespeare,103
Macbeth - Shakespeare,101
Julius Caesar - Shakespeare,100
The Tempest - Shakespeare,99
Legally Blonde - All Media Types,98
Coriolanus - Shakespeare,97
bare: A Pop Opera - Hartmere/Intrabartolo,94
Richard III - Shakespeare,94
American Idiot - All Media Types,81
Greek Tragedy,78
The Music Man - Willson,78
Othello - Shakespeare,76
Into the Woods - Sondheim/Lapine,71
Jesus Christ Superstar - All Media Types,70
Swan Lake & Related Fandoms,70
Love Never Dies - Lloyd Webber,69
Clue | Cluedo - All Media Types,68
A Very Potter Musical Series - Team StarKid,67
Sweeney Todd - Sondheim/Wheeler,64
Little Shop of Horrors - All Media Types,63
Sparks Nevada Marshal on Mars,62
Merchant of Venice - Shakespeare,61
Jersey Boys - Gaudio/Crewe/Brickman/Elice,58
American Idiot - Green Day/Armstrong,57
Kuroshitsuji : The Most Beautiful DEATH in the World - Iwasaki/Mori/Mari,57
The Sound of Music - Rodgers/Hammerstein/Lindsay & Crouse,56
Henry VI - Shakespeare,54
Henry IV Part 2 - Shakespeare,53
Hair - MacDermot/Rado/Ragni,52
Frühlings Erwachen | Spring Awakening - Frank Wedekind,49
Legally Blonde - Hach/O'Keefe/Benjamin,49
Groundhog Day - Minchin/Rubin,47
A Gentleman's Guide to Love and Murder - Lutvak/Freedman,46
Next to Normal - Kitt/Yorkey,45
Romeo e Giulietta - Ama e Cambia il Mondo,44
Doctor Faustus - Christopher Marlowe,43
Les Misérables (Dallas 2014),43
Knightmare - All Media Types,41
Rebecca - Daphne du Maurier & Related Fandoms,41
She Loves Me - Bock/Harnick/Masteroff,41
Tuck Everlasting - Miller/Tysen/Shear & Federle,40
Frankenstein - Nick Dear,37
The Lion in Winter - All Media Types,35
King Lear - Shakespeare,34
As You Like It - Shakespeare,33
Hadestown - Mitchell,33
Spies Are Forever - Talkfine/Tin Can Brothers,33
Starship - Team StarKid,33
Angels in America - Kushner,32
Jekyll & Hyde - Wildhorn,31
The Crucible - Miller,30
Bandstand - Oberacker/Oberacker & Taylor,29
Taming of the Shrew - Shakespeare,28
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Musicals),27
Лебединое озеро - Чайковски | Swan Lake - Tchaikovsky,27
Die Zauberflöte | The Magic Flute - Mozart/Schikaneder,27
Arcadia - Stoppard,26
Firebringer - Team StarKid,25
Miss Saigon - Schönberg/Boublil/Maltby,25
The Pirates of Penzance - Sullivan/Gilbert,25
The Dolls of New Albion: A Steampunk Opera - Shapera,24
Ghost Quartet - Malloy,24
Mozart! - Levay/Kunze,24
Something Rotten! - Kirkpatrick/Kirkpatrick/O'Farrell,24
Guys and Dolls - Loesser/Swerling/Burrows,23
Kaptein Sabeltann | Captain Sabertooth - Formoe,23
Schelkunchik | The Nutcracker,23
Annie - Strouse/Charnin/Meehan,21
Wonderland: A New Alice - Murphy/Boyd/Wildhorn,21
And Then There Were None - Christie,20
Hedwig and the Angry Inch - Trask/Mitchell,20
Notre-Dame de Paris - Cocciante/Plamondon,20
Starlight Express - Phillips/Stilgoe/Webber,20
We Will Rock You - Elton/May/Taylor,20
Avenue Q - Lopez/Marx,19
Elisabeth (Színház),19
