Star Wars - All Media Types,58476
Dragon Age - All Media Types,51254
Dragon Age (Video Games),44887
Dragon Age: Inquisition,26919
Final Fantasy,24407
Overwatch (Video Game),20834
Undertale (Video Game),20098
The Walking Dead & Related Fandoms,16721
Mass Effect - All Media Types,16598
Mass Effect Trilogy,14612
Fire Emblem Series,11882
Dragon Age II,11469
Final Fantasy XV,10763
Pocket Monsters | Pokemon - All Media Types,10287
Dangan Ronpa - All Media Types,9795
Fallout (Video Games),8992
Shin Megami Tensei Series,8591
Dragon Age: Origins,8322
Persona Series,7575
Compilation of Final Fantasy VII,7416
Kingdom Hearts,7242
逆転裁判 | Gyakuten Saiban | Ace Attorney,6279
Fallout 4,6117
Assassin's Creed - All Media Types,6064
Final Fantasy VII,5960
Pocket Monsters | Pokemon (Main Video Game Series),5707
Fire Emblem: If | Fire Emblem: Fates,5291
Star Wars Original Trilogy,5079
Dangan Ronpa: Trigger Happy Havoc,4877
Elder Scrolls,4735
The Legend of Zelda & Related Fandoms,4687
Tales of Series,4679
Star Wars: The Clone Wars (2008) - All Media Types,4550
Dungeons & Dragons - All Media Types,4453
Mystic Messenger (Video Game),4396
Fire Emblem: Kakusei | Fire Emblem: Awakening,4304
Elder Scrolls V: Skyrim,4010
DRAMAtical Murder - All Media Types,3789
Durarara!!,3595
Super Dangan Ronpa 2,3509
Warcraft - All Media Types,3452
Borderlands (Video Games),3408
Team Fortress 2,3379
Persona 4,3234
Persona 5,3144
Life Is Strange (Video Game),3019
Star Wars Legends: Sith Era - All Media Types,2956
World of Warcraft,2523
Mass Effect: Andromeda,2343
Star Wars Legends: The Old Republic,2296
Digimon - All Media Types,2239
New Dangan Ronpa V3: Everyone's New Semester of Killing,2228
Resident Evil - All Media Types,2200
Metal Gear,2183
Ensemble Stars! (Video Game),2020
Dishonored (Video Games),1991
Fallout: New Vegas,1871
Biohazard | Resident Evil (Gameverse),1819
刀剣乱舞 | Touken Ranbu,1808
Fate/stay night & Related Fandoms,1728
Fabula Nova Crystallis: Final Fantasy,1680
Uncharted (Video Games),1680
Until Dawn (Video Game),1627
Five Nights at Freddy's,1599
Final Fantasy VIII,1555
Sonic the Hedgehog - All Media Types,1548
League of Legends,1520
Final Fantasy XIII Series,1440
Persona 3,1429
The Legend of Zelda: Breath of the Wild,1354
Tales of Zestiria,1342
Pocket Monsters: Sun & Moon | Pokemon Sun & Moon Versions,1249
Final Fantasy XII,1217
Dragon Age: Origins - Awakening,1193
Tron - All Media Types,1168
Final Fantasy X & Final Fantasy X-2,1136
Fallout 3,1128
Crisis Core: Final Fantasy VII,1079
Super Smash Brothers,1074
Devil May Cry,1060
BioShock,1059
Final Fantasy XIV,1032
Lego - All Media Types,1014
Final Fantasy XIII,1008
Portal (Video Game),1004
Wiedźmin | The Witcher - All Media Types,987
Destiny (Video Games),983
Dream Daddy: A Dad Dating Simulator,981
Minecraft (Video Game),898
The Evil Within (Video Game),861
Grand Theft Auto Series (Video Games),861
DRAMAtical Murder (Visual Novel),850
Final Fantasy X,842
The Legend of Zelda: The Ocarina of Time,827
Super Mario & Related Fandoms,806
Outlast (Video Games),798
Star Stable,786
Star Wars Legends: New Republic Era - All Media Types,784
Grand Theft Auto V,776
Tales of Vesperia,774
Fire Emblem: Soen no Kiseki/Akatsuki no Megami | Fire Emblem Path of Radiance/Radiant Dawn,764
Rockman | Mega Man - All Media Types,759
Pocket Monsters: Black & White | Pokemon Black and White Versions,742
Sonic the Hedgehog (Video Games),722
Saints Row,721
Tales of Xillia,716
Tales of the Abyss,714
Touhou Project,703
Bendy and the Ink Machine,702
Subarashiki Kono Sekai | The World Ends With You,698
Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions,684
Wiedźmin | The Witcher (Video Game),683
Pocket Monsters: X & Y | Pokemon X & Y Versions,672
悪魔城ドラキュラ | Castlevania Series,671
Layton Kyouju Series | Professor Layton Series,664
Final Fantasy VI,658
Uta no Prince-sama,654
The Legend of Zelda: Twilight Princess,632
The Last of Us,623
Silent Hill (Video Game Series),612
Love Live! School Idol Festival (Video Game),599
Batman: Arkham - All Media Types,594
Stardew Valley (Video Game),584
Left 4 Dead (Video Games),579
BioShock Infinite,565
Star Wars Legends: Knights of the Old Republic,563
Halo (Video Games) & Related Fandoms,557
Zombies Run!,538
Asagao Academy: Normal Boots Club,537
Batman: Arkham (Video Games),521
Fate/stay night - All Media Types,514
OFF (Game),513
Zero Escape (Video Games),512
Tales of Symphonia,503
Final Fantasy IV,501
Sengoku Basara,497
Call of Duty (Video Games),496
光神話 | Kid Icarus (Video Games),490
Elder Scrolls IV: Oblivion,473
Far Cry (Video Games),461
Inazuma Eleven,456
The Legend of Zelda: Skyward Sword,456
Deus Ex (Video Games),453
Suikoden,450
Avengers Academy (Video Game),444
Mortal Kombat - All Media Types,444
