Harry Potter - J. K. Rowling,155435,https://archiveofourown.org/tags/Harry%20Potter%20-%20J*d*%20K*d*%20Rowling/works,Books *a* Literature
Sherlock Holmes & Related Fandoms,109352,https://archiveofourown.org/tags/Sherlock%20Holmes%20*a*%20Related%20Fandoms/works,Books *a* Literature
Star Wars - All Media Types,58527,https://archiveofourown.org/tags/Star%20Wars%20-%20All%20Media%20Types/works,Books *a* Literature
TOLKIEN J. R. R. - Works & Related Fandoms,52462,https://archiveofourown.org/tags/TOLKIEN%20J*d*%20R*d*%20R*d*%20-%20Works%20*a*%20Related%20Fandoms/works,Books *a* Literature
Dragon Age - All Media Types,51260,https://archiveofourown.org/tags/Dragon%20Age%20-%20All%20Media%20Types/works,Books *a* Literature
Doctor Who,46137,https://archiveofourown.org/tags/Doctor%20Who/works,Books *a* Literature
Arthurian Mythology & Related Fandoms,31366,https://archiveofourown.org/tags/Arthurian%20Mythology%20*a*%20Related%20Fandoms/works,Books *a* Literature
A Song of Ice and Fire & Related Fandoms,29209,https://archiveofourown.org/tags/A%20Song%20of%20Ice%20and%20Fire%20*a*%20Related%20Fandoms/works,Books *a* Literature
Doctor Who (2005),28744,https://archiveofourown.org/tags/Doctor%20Who%20(2005)/works,Books *a* Literature
The Hobbit - All Media Types,27875,https://archiveofourown.org/tags/The%20Hobbit%20-%20All%20Media%20Types/works,Books *a* Literature
A Song of Ice and Fire - George R. R. Martin,23102,https://archiveofourown.org/tags/A%20Song%20of%20Ice%20and%20Fire%20-%20George%20R*d*%20R*d*%20Martin/works,Books *a* Literature
The Shadowhunter Chronicles - All Media Types,19040,https://archiveofourown.org/tags/The%20Shadowhunter%20Chronicles%20-%20All%20Media%20Types/works,Books *a* Literature
The Lord of the Rings - All Media Types,18980,https://archiveofourown.org/tags/The%20Lord%20of%20the%20Rings%20-%20All%20Media%20Types/works,Books *a* Literature
Hannibal Lecter Series - All Media Types,17955,https://archiveofourown.org/tags/Hannibal%20Lecter%20Series%20-%20All%20Media%20Types/works,Books *a* Literature
Les Misérables - All Media Types,17388,https://archiveofourown.org/tags/Les%20Mis%C3%A9rables%20-%20All%20Media%20Types/works,Books *a* Literature
Mass Effect - All Media Types,16603,https://archiveofourown.org/tags/Mass%20Effect%20-%20All%20Media%20Types/works,Books *a* Literature
Percy Jackson and the Olympians & Related Fandoms - All Media Types,14678,https://archiveofourown.org/tags/Percy%20Jackson%20and%20the%20Olympians%20*a*%20Related%20Fandoms%20-%20All%20Media%20Types/works,Books *a* Literature
RIORDAN Rick - Works,13008,https://archiveofourown.org/tags/RIORDAN%20Rick%20-%20Works/works,Books *a* Literature
Star Wars: Rebellion Era - All Media Types,12936,https://archiveofourown.org/tags/Star%20Wars:%20Rebellion%20Era%20-%20All%20Media%20Types/works,Books *a* Literature
The Lord of the Rings - J. R. R. Tolkien,11846,https://archiveofourown.org/tags/The%20Lord%20of%20the%20Rings%20-%20J*d*%20R*d*%20R*d*%20Tolkien/works,Books *a* Literature
Star Wars: Rise of Empire Era - All Media Types,10948,https://archiveofourown.org/tags/Star%20Wars:%20Rise%20of%20Empire%20Era%20-%20All%20Media%20Types/works,Books *a* Literature
Percy Jackson and the Olympians - Rick Riordan,10475,https://archiveofourown.org/tags/Percy%20Jackson%20and%20the%20Olympians%20-%20Rick%20Riordan/works,Books *a* Literature
Dangan Ronpa - All Media Types,9805,https://archiveofourown.org/tags/Dangan%20Ronpa%20-%20All%20Media%20Types/works,Books *a* Literature
Hunger Games Series - All Media Types,9298,https://archiveofourown.org/tags/Hunger%20Games%20Series%20-%20All%20Media%20Types/works,Books *a* Literature
The Hobbit - J. R. R. Tolkien,8968,https://archiveofourown.org/tags/The%20Hobbit%20-%20J*d*%20R*d*%20R*d*%20Tolkien/works,Books *a* Literature
The Vampire Diaries & Related Fandoms,8968,https://archiveofourown.org/tags/The%20Vampire%20Diaries%20*a*%20Related%20Fandoms/works,Books *a* Literature
James Bond - All Media Types,8904,https://archiveofourown.org/tags/James%20Bond%20-%20All%20Media%20Types/works,Books *a* Literature
The Shadowhunter Chronicles - Cassandra Clare,8868,https://archiveofourown.org/tags/The%20Shadowhunter%20Chronicles%20-%20Cassandra%20Clare/works,Books *a* Literature
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,8599,https://archiveofourown.org/tags/The%20Silmarillion%20and%20other%20histories%20of%20Middle-Earth%20-%20J*d*%20R*d*%20R*d*%20Tolkien/works,Books *a* Literature
James Bond (Craig movies),8178,https://archiveofourown.org/tags/James%20Bond%20(Craig%20movies)/works,Books *a* Literature
The Mortal Instruments Series - Cassandra Clare,7172,https://archiveofourown.org/tags/The%20Mortal%20Instruments%20Series%20-%20Cassandra%20Clare/works,Books *a* Literature
