Marvel,235331,https://archiveofourown.org/tags/Marvel/works,Cartoons *a* Comics *a* Graphic Novels
The Avengers - Ambiguous Fandom,105869,https://archiveofourown.org/tags/The%20Avengers%20-%20Ambiguous%20Fandom/works,Cartoons *a* Comics *a* Graphic Novels
The Avengers (Marvel) - All Media Types,103060,https://archiveofourown.org/tags/The%20Avengers%20(Marvel)%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
DCU,102770,https://archiveofourown.org/tags/DCU/works,Cartoons *a* Comics *a* Graphic Novels
Captain America - All Media Types,59488,https://archiveofourown.org/tags/Captain%20America%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Star Wars - All Media Types,58527,https://archiveofourown.org/tags/Star%20Wars%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Dragon Age - All Media Types,51260,https://archiveofourown.org/tags/Dragon%20Age%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Homestuck,44352,https://archiveofourown.org/tags/Homestuck/works,Cartoons *a* Comics *a* Graphic Novels
Voltron: Legendary Defender,32218,https://archiveofourown.org/tags/Voltron:%20Legendary%20Defender/works,Cartoons *a* Comics *a* Graphic Novels
Thor - All Media Types,29379,https://archiveofourown.org/tags/Thor%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
The Hobbit - All Media Types,27875,https://archiveofourown.org/tags/The%20Hobbit%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
DCU (Comics),27144,https://archiveofourown.org/tags/DCU%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
Batman - All Media Types,26094,https://archiveofourown.org/tags/Batman%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
X-Men - All Media Types,24758,https://archiveofourown.org/tags/X-Men%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Transformers - All Media Types,23384,https://archiveofourown.org/tags/Transformers%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Marvel (Comics),22028,https://archiveofourown.org/tags/Marvel%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
Disney - All Media Types,21581,https://archiveofourown.org/tags/Disney%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Marvel 616,18754,https://archiveofourown.org/tags/Marvel%20616/works,Cartoons *a* Comics *a* Graphic Novels
The Walking Dead & Related Fandoms,16728,https://archiveofourown.org/tags/The%20Walking%20Dead%20*a*%20Related%20Fandoms/works,Cartoons *a* Comics *a* Graphic Novels
Mass Effect - All Media Types,16603,https://archiveofourown.org/tags/Mass%20Effect%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Green Arrow - All Media Types,16314,https://archiveofourown.org/tags/Green%20Arrow%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
The Flash - All Media Types,16129,https://archiveofourown.org/tags/The%20Flash%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Avatar (TV),13287,https://archiveofourown.org/tags/Avatar%20(TV)/works,Cartoons *a* Comics *a* Graphic Novels
Star Wars: Rebellion Era - All Media Types,12936,https://archiveofourown.org/tags/Star%20Wars:%20Rebellion%20Era%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Batman (Comics),12722,https://archiveofourown.org/tags/Batman%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
Superman - All Media Types,12522,https://archiveofourown.org/tags/Superman%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Miraculous Ladybug,12250,https://archiveofourown.org/tags/Miraculous%20Ladybug/works,Cartoons *a* Comics *a* Graphic Novels
Gravity Falls,12026,https://archiveofourown.org/tags/Gravity%20Falls/works,Cartoons *a* Comics *a* Graphic Novels
Transformers Generation One,11582,https://archiveofourown.org/tags/Transformers%20Generation%20One/works,Cartoons *a* Comics *a* Graphic Novels
Spider-Man - All Media Types,10223,https://archiveofourown.org/tags/Spider-Man%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Smallville,9345,https://archiveofourown.org/tags/Smallville/works,Cartoons *a* Comics *a* Graphic Novels
Steven Universe (Cartoon),8972,https://archiveofourown.org/tags/Steven%20Universe%20(Cartoon)/works,Cartoons *a* Comics *a* Graphic Novels
Young Justice - All Media Types,8948,https://archiveofourown.org/tags/Young%20Justice%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
RWBY,8708,https://archiveofourown.org/tags/RWBY/works,Cartoons *a* Comics *a* Graphic Novels
Avatar: Legend of Korra,7325,https://archiveofourown.org/tags/Avatar:%20Legend%20of%20Korra/works,Cartoons *a* Comics *a* Graphic Novels
Check Please! (Webcomic),6842,https://archiveofourown.org/tags/Check%20Please!%20(Webcomic)/works,Cartoons *a* Comics *a* Graphic Novels
Avatar: The Last Airbender,6686,https://archiveofourown.org/tags/Avatar:%20The%20Last%20Airbender/works,Cartoons *a* Comics *a* Graphic Novels
Assassin's Creed - All Media Types,6065,https://archiveofourown.org/tags/Assassin's%20Creed%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Young Justice (Cartoon),5343,https://archiveofourown.org/tags/Young%20Justice%20(Cartoon)/works,Cartoons *a* Comics *a* Graphic Novels
The Transformers (IDW Generation One),5221,https://archiveofourown.org/tags/The%20Transformers%20(IDW%20Generation%20One)/works,Cartoons *a* Comics *a* Graphic Novels
Star Wars Original Trilogy,5087,https://archiveofourown.org/tags/Star%20Wars%20Original%20Trilogy/works,Cartoons *a* Comics *a* Graphic Novels
Deadpool - All Media Types,5003,https://archiveofourown.org/tags/Deadpool%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Avengers (Comics),4791,https://archiveofourown.org/tags/Avengers%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
The Legend of Zelda & Related Fandoms,4692,https://archiveofourown.org/tags/The%20Legend%20of%20Zelda%20*a*%20Related%20Fandoms/works,Cartoons *a* Comics *a* Graphic Novels
Teenage Mutant Ninja Turtles - All Media Types,4685,https://archiveofourown.org/tags/Teenage%20Mutant%20Ninja%20Turtles%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Star Wars: The Clone Wars (2008) - All Media Types,4552,https://archiveofourown.org/tags/Star%20Wars:%20The%20Clone%20Wars%20(2008)%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Dungeons & Dragons - All Media Types,4462,https://archiveofourown.org/tags/Dungeons%20*a*%20Dragons%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Archie Comics & Related Fandoms,4320,https://archiveofourown.org/tags/Archie%20Comics%20*a*%20Related%20Fandoms/works,Cartoons *a* Comics *a* Graphic Novels
Fullmetal Alchemist: Brotherhood & Manga,4304,https://archiveofourown.org/tags/Fullmetal%20Alchemist:%20Brotherhood%20*a*%20Manga/works,Cartoons *a* Comics *a* Graphic Novels
South Park,4096,https://archiveofourown.org/tags/South%20Park/works,Cartoons *a* Comics *a* Graphic Novels
DC Cinematic Universe,4073,https://archiveofourown.org/tags/DC%20Cinematic%20Universe/works,Cartoons *a* Comics *a* Graphic Novels
X-Men (Comicverse),3899,https://archiveofourown.org/tags/X-Men%20(Comicverse)/works,Cartoons *a* Comics *a* Graphic Novels
Transformers: Prime,3846,https://archiveofourown.org/tags/Transformers:%20Prime/works,Cartoons *a* Comics *a* Graphic Novels
Warcraft - All Media Types,3454,https://archiveofourown.org/tags/Warcraft%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
DC Animated Universe,3352,https://archiveofourown.org/tags/DC%20Animated%20Universe/works,Cartoons *a* Comics *a* Graphic Novels
Star Wars Legends: Sith Era - All Media Types,2960,https://archiveofourown.org/tags/Star%20Wars%20Legends:%20Sith%20Era%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Justice League - All Media Types,2842,https://archiveofourown.org/tags/Justice%20League%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Young Avengers (Comics),2761,https://archiveofourown.org/tags/Young%20Avengers%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
ワンパンマン | One-Punch Man,2723,https://archiveofourown.org/tags/%E3%83%AF%E3%83%B3%E3%83%91%E3%83%B3%E3%83%9E%E3%83%B3%20%7C%20One-Punch%20Man/works,Cartoons *a* Comics *a* Graphic Novels
Ghostbusters - All Media Types,2589,https://archiveofourown.org/tags/Ghostbusters%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Rick and Morty,2399,https://archiveofourown.org/tags/Rick%20and%20Morty/works,Cartoons *a* Comics *a* Graphic Novels
Star Wars: Rebels,2343,https://archiveofourown.org/tags/Star%20Wars:%20Rebels/works,Cartoons *a* Comics *a* Graphic Novels
Hawkeye (Comics),2342,https://archiveofourown.org/tags/Hawkeye%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
Danny Phantom,2232,https://archiveofourown.org/tags/Danny%20Phantom/works,Cartoons *a* Comics *a* Graphic Novels
Resident Evil - All Media Types,2200,https://archiveofourown.org/tags/Resident%20Evil%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Teen Titans - All Media Types,2150,https://archiveofourown.org/tags/Teen%20Titans%20-%20All%20Media%20Types/works,Cartoons *a* Comics *a* Graphic Novels
Nightwing (Comics),2029,https://archiveofourown.org/tags/Nightwing%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
モブサイコ100 | Mob Psycho 100,1964,https://archiveofourown.org/tags/%E3%83%A2%E3%83%96%E3%82%B5%E3%82%A4%E3%82%B3100%20%7C%20Mob%20Psycho%20100/works,Cartoons *a* Comics *a* Graphic Novels
My Little Pony,1873,https://archiveofourown.org/tags/My%20Little%20Pony/works,Cartoons *a* Comics *a* Graphic Novels
My Little Pony: Friendship is Magic,1785,https://archiveofourown.org/tags/My%20Little%20Pony:%20Friendship%20is%20Magic/works,Cartoons *a* Comics *a* Graphic Novels
Red Hood and the Outlaws (Comics),1753,https://archiveofourown.org/tags/Red%20Hood%20and%20the%20Outlaws%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
Captain America (Comics),1737,https://archiveofourown.org/tags/Captain%20America%20(Comics)/works,Cartoons *a* Comics *a* Graphic Novels
The Incredible Hulk (2008),1669,https://archiveofourown.org/tags/The%20Incredible%20Hulk%20(2008)/works,Cartoons *a* Comics *a* Graphic Novels
Teenage Mutant Ninja Turtles (TV 2012),1668,https://archiveofourown.org/tags/Teenage%20Mutant%20Ninja%20Turtles%20(TV%202012)/works,Cartoons *a* Comics *a* Graphic Novels
